id,date_processed,cycle,files_received,total_records_processed,Receipt_control_time,Databricks_job_run ,DBX,TOTAL_RC_DBX,BOL
152,7/27/2024,1,0,0,0,,0,0,0
74,9/16/2024,1,1,49,6,9/16/2024 8:51,9,15,6
108,8/24/2024,1,1,293744,4,8/24/2024 3:29,14,18,7
31,10/12/2024,1,1,9894,4,10/12/2024 3:29,10,14,7
157,7/24/2024,3,1,173000,8,7/24/2024 13:33,14,22,11
339,3/30/2024,1,1,123,6,3/30/2024 11:08,8,14,12
9,10/26/2024,1,1,60079,8,10/26/2024 3:33,10,18,13
328,4/6/2024,1,1,7305,5,4/6/2024 3:23,8,13,13
251,5/25/2024,1,1,264619,8,5/25/2024 3:28,13,21,17
37,10/9/2024,1,1,39997,6,10/9/2024 3:31,11,17,18
299,4/25/2024,1,1,28710,5,4/25/2024 3:23,10,15,18
218,6/15/2024,1,1,9223,8,6/15/2024 3:32,9,17,18
213,6/19/2024,1,1,444499,6,6/19/2024 3:30,15,21,19
229,6/8/2024,1,1,132429,5,6/8/2024 3:24,10,15,19
240,6/1/2024,1,1,132220,6,6/1/2024 6:50,10,16,19
103,8/28/2024,1,1,99604,5,8/28/2024 3:30,12,17,19
312,4/17/2024,1,1,89690,5,4/17/2024 3:23,10,15,19
244,5/30/2024,1,1,75138,8,5/30/2024 3:28,10,18,19
35,10/10/2024,1,1,53281,4,10/10/2024 3:29,12,16,19
350,3/23/2024,1,1,34726,7,3/23/2024 3:25,8,15,19
101,8/29/2024,1,1,22111,5,8/29/2024 3:30,14,19,19
75,9/14/2024,1,1,15521,7,9/14/2024 3:32,11,18,19
321,4/11/2024,1,1,13878,5,4/11/2024 3:23,10,15,19
355,3/20/2024,3,4,8026393,20,3/20/2024 14:24,125,145,20
121,8/16/2024,1,1,384271,12,8/16/2024 3:36,17,29,20
255,5/23/2024,1,1,358308,5,5/23/2024 3:25,15,20,20
376,3/7/2024,1,1,356021,12,3/7/2024 4:35,14,26,20
246,5/29/2024,1,1,349262,5,5/29/2024 3:25,14,19,20
189,7/4/2024,1,1,327437,4,7/4/2024 3:29,15,19,20
24,10/17/2024,1,1,268102,11,10/17/2024 3:36,12,23,20
348,3/25/2024,3,1,232310,8,3/25/2024 13:35,11,19,20
249,5/27/2024,3,1,226779,7,5/27/2024 14:11,12,19,20
156,7/25/2024,1,1,202168,6,7/25/2024 3:31,15,21,20
26,10/16/2024,1,1,184437,7,10/16/2024 3:32,13,20,20
180,7/10/2024,1,1,116128,4,7/10/2024 3:29,11,15,20
319,4/12/2024,1,1,91883,6,4/12/2024 3:24,11,17,20
158,7/24/2024,1,1,82154,5,7/24/2024 3:30,11,16,20
233,6/6/2024,1,1,63055,8,6/6/2024 3:27,10,18,20
15,10/23/2024,1,1,56396,7,10/23/2024 3:33,9,16,20
53,9/28/2024,1,1,55780,5,9/28/2024 3:29,10,15,20
367,3/13/2024,1,1,46242,8,3/13/2024 3:26,11,19,20
13,10/24/2024,1,1,44037,5,10/24/2024 3:25,11,16,20
70,9/18/2024,1,1,39921,4,9/18/2024 5:37,11,15,20
228,6/10/2024,1,1,37526,5,6/10/2024 3:24,9,14,20
343,3/28/2024,1,1,34164,6,3/28/2024 3:24,10,16,20
123,8/15/2024,1,1,31808,4,8/15/2024 3:29,13,17,20
323,4/10/2024,1,1,21213,5,4/10/2024 3:23,9,14,20
365,3/14/2024,1,1,19045,5,3/14/2024 3:23,11,15,20
174,7/13/2024,1,1,4627,5,7/13/2024 3:29,10,15,20
132,8/9/2024,1,1,685702,7,8/9/2024 3:32,21,28,21
284,5/4/2024,1,1,619381,5,5/4/2024 3:24,18,23,21
253,5/24/2024,1,1,588373,10,5/24/2024 3:30,19,29,21
11,10/25/2024,1,1,513891,7,10/25/2024 5:57,19,26,21
166,7/18/2024,3,1,380650,9,7/18/2024 13:33,15,24,21
361,3/16/2024,1,1,355435,5,3/16/2024 3:18,14,19,21
352,3/22/2024,1,1,327864,9,3/22/2024 3:27,13,22,21
4,10/30/2024,1,1,313870,5,10/30/2024 3:30,16,21,21
119,8/17/2024,1,1,258272,4,8/17/2024 3:29,14,18,21
95,9/2/2024,3,1,249086,8,9/2/2024 13:32,14,22,21
97,8/31/2024,1,1,195844,4,8/31/2024 8:59,156,160,21
221,6/13/2024,3,1,162784,9,6/13/2024 13:33,12,21,21
257,5/22/2024,1,1,156441,5,5/22/2024 3:25,12,17,21
12,10/24/2024,3,1,112774,8,10/24/2024 13:33,11,19,21
81,9/11/2024,1,1,98101,7,9/11/2024 3:32,13,20,21
375,3/7/2024,3,1,93838,7,3/7/2024 13:24,11,18,21
372,3/9/2024,1,1,71064,8,3/9/2024 3:25,11,19,21
370,3/11/2024,1,1,68715,8,3/11/2024 1:26,9,17,21
333,4/3/2024,3,1,58643,9,4/3/2024 13:27,9,18,21
145,8/1/2024,1,1,50701,6,8/1/2024 9:14,14,20,21
14,10/23/2024,3,1,49992,7,10/23/2024 13:32,11,18,21
3,10/30/2024,3,1,48358,6,10/30/2024 13:31,10,16,21
100,8/29/2024,3,1,26122,9,8/29/2024 13:34,11,20,21
169,7/17/2024,1,1,882731,6,7/17/2024 3:30,24,30,22
262,5/18/2024,1,1,870487,5,5/18/2024 3:25,20,25,22
231,6/7/2024,1,1,717499,19,6/7/2024 3:38,19,38,22
90,9/5/2024,1,1,659501,5,9/5/2024 3:30,22,27,22
134,8/8/2024,1,1,641252,6,8/8/2024 3:30,21,27,22
130,8/10/2024,1,1,588989,5,8/10/2024 3:29,20,25,22
86,9/7/2024,1,1,548268,5,9/7/2024 3:30,17,22,22
154,7/26/2024,1,1,521581,5,7/26/2024 3:30,19,24,22
220,6/14/2024,1,1,519642,6,6/14/2024 3:30,18,24,22
209,6/21/2024,1,1,490033,15,6/21/2024 3:39,17,32,22
242,5/31/2024,1,1,430034,7,5/31/2024 3:27,17,24,22
363,3/15/2024,1,1,415937,9,3/15/2024 3:27,16,25,22
373,3/8/2024,3,1,409437,9,3/8/2024 13:26,15,24,22
238,6/3/2024,3,1,404144,10,6/3/2024 13:29,14,24,22
131,8/9/2024,3,1,398028,8,8/9/2024 13:33,17,25,22
362,3/15/2024,3,1,396561,9,3/15/2024 13:27,10,19,22
68,9/19/2024,1,1,383232,8,9/19/2024 3:33,17,25,22
168,7/17/2024,3,1,365582,9,7/17/2024 13:42,14,23,22
40,10/7/2024,3,1,317742,9,10/7/2024 13:34,15,24,22
84,9/9/2024,3,1,311059,8,9/9/2024 13:33,15,23,22
48,10/2/2024,1,1,259163,6,10/2/2024 3:31,15,21,22
378,3/6/2024,1,1,217440,5,3/6/2024 3:24,13,18,22
147,7/31/2024,1,1,208337,6,7/31/2024 3:31,16,22,22
150,7/29/2024,3,1,207802,7,7/29/2024 13:32,13,20,22
243,5/30/2024,3,1,206132,8,5/30/2024 13:28,13,21,22
36,10/9/2024,3,1,142502,7,10/9/2024 13:32,12,19,22
298,4/25/2024,3,1,137920,10,4/25/2024 13:28,12,22,22
232,6/6/2024,3,1,116442,9,6/6/2024 13:38,10,19,22
79,9/12/2024,1,1,115784,7,9/12/2024 3:31,13,20,22
133,8/8/2024,3,1,111304,8,8/8/2024 13:33,5,13,22
274,5/10/2024,3,1,110455,9,5/10/2024 13:28,10,19,22
179,7/10/2024,3,1,106487,9,7/10/2024 13:33,10,19,22
366,3/13/2024,3,1,99670,10,3/13/2024 13:28,10,20,22
254,5/23/2024,3,1,88351,8,5/23/2024 13:28,10,18,22
112,8/22/2024,1,1,83657,6,8/22/2024 3:32,14,20,22
208,6/21/2024,3,1,71708,9,6/21/2024 13:33,9,18,22
364,3/14/2024,3,1,64579,9,3/14/2024 13:26,10,19,22
124,8/14/2024,3,1,45461,9,8/14/2024 13:34,12,21,22
102,8/28/2024,3,1,44676,8,8/28/2024 13:33,11,19,22
155,7/25/2024,3,1,8434,7,7/25/2024 15:20,3,10,22
99,8/30/2024,1,1,1147816,8,8/30/2024 3:33,28,36,23
317,4/13/2024,1,1,1128352,6,4/13/2024 3:24,26,32,23
191,7/3/2024,1,1,1091135,6,7/3/2024 6:38,27,33,23
163,7/20/2024,1,1,953450,6,7/20/2024 3:32,24,30,23
143,8/2/2024,1,1,713188,7,8/2/2024 3:32,24,31,23
109,8/23/2024,3,1,669991,28,8/23/2024 13:53,20,48,23
187,7/5/2024,1,1,609077,6,7/5/2024 3:31,19,25,23
341,3/29/2024,1,1,528715,8,3/29/2024 3:26,18,26,23
359,3/18/2024,3,1,520980,9,3/18/2024 13:27,16,25,23
98,8/30/2024,3,1,499314,8,8/30/2024 13:33,17,25,23
76,9/13/2024,3,1,497399,8,9/13/2024 13:33,17,25,23
216,6/17/2024,3,1,445574,9,6/17/2024 13:33,15,24,23
275,5/10/2024,1,1,429781,6,5/10/2024 3:25,16,22,23
340,3/29/2024,3,1,418794,9,3/29/2024 13:27,14,23,23
183,7/8/2024,3,1,387813,7,7/8/2024 14:09,8,15,23
10,10/25/2024,3,1,370993,8,10/25/2024 13:33,15,23,23
326,4/8/2024,3,1,365258,9,4/8/2024 13:27,14,23,23
54,9/27/2024,3,1,348479,10,9/27/2024 13:34,13,23,23
190,7/3/2024,3,1,334758,9,7/3/2024 13:34,12,21,23
337,4/1/2024,3,1,205631,9,4/1/2024 16:29,11,20,23
135,8/7/2024,3,1,133899,8,8/7/2024 13:33,13,21,23
311,4/17/2024,3,1,128540,8,4/17/2024 13:26,11,19,23
23,10/17/2024,3,1,121330,8,10/17/2024 13:33,12,20,23
200,6/27/2024,1,1,119604,9,6/27/2024 3:34,12,21,23
322,4/10/2024,3,1,105639,9,4/10/2024 13:27,9,18,23
122,8/15/2024,3,1,87618,8,8/15/2024 13:33,12,20,23
320,4/11/2024,3,1,83641,9,4/11/2024 13:27,10,19,23
80,9/11/2024,3,1,57040,7,9/11/2024 13:32,11,18,23
136,8/7/2024,1,1,52300,9,8/7/2024 3:34,11,20,23
59,9/25/2024,1,1,32523,14,9/25/2024 6:39,11,25,23
141,8/3/2024,1,1,1707745,7,8/3/2024 3:31,36,43,24
356,3/20/2024,1,1,1488097,12,3/20/2024 4:58,27,39,24
